Datei,Beschichtung_Ag_Sn,Zwischenschicht_Ni,Normalkraft,Frequenz,Bewegungshub,Zyklus_bei_1_mOhm,Zyklus_bei_2_mOhm,Zyklus_bei_5_mOhm,Zyklus_bei_10_mOhm,Zyklus_bei_20_mOhm,Zyklus_bei_50_mOhm,Zyklus_bei_100_mOhm,Zyklus_bei_300_mOhm
Sample-0.txt,Ja,Ja,5.0,1.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-1.txt,Nein,Ja,2.5,1.0,100,17,-1,-1,-1,-1,-1,-1,-1
Sample-2.txt,Ja,Nein,2.0,1.5,100,14,122,406,2222,-1,-1,-1,-1
Sample-3.txt,Ja,Nein,2.0,1.5,100,14,60,332,-1,-1,-1,-1,-1
Sample-4.txt,Ja,Ja,2.5,2.0,150,28,56,607,2244,5057,17411,260119,267320
Sample-5.txt,Nein,Ja,2.5,1.5,150,35,58,907,2395,10446,86671,265563,-1
Sample-6.txt,Nein,Ja,1.0,1.5,150,1,7,6,47,58,139,671,1065
Sample-7.txt,Ja,Nein,1.0,1.5,100,4,9,24,88,140,663,1780,7298
Sample-8.txt,Ja,Ja,2.0,2.0,100,42,143,1078,3707,16160,-1,-1,-1
Sample-9.txt,Ja,Ja,4.0,1.5,200,28,95,497,-1,-1,-1,-1,-1
Sample-10.txt,Nein,Nein,2.5,1.5,100,45,108,501,1088,4463,-1,-1,-1
Sample-11.txt,Nein,Ja,2.5,1.0,100,25,123,-1,-1,-1,-1,-1,-1
Sample-12.txt,Nein,Nein,2.5,1.5,100,43,171,572,2125,6959,-1,-1,-1
Sample-13.txt,Ja,Nein,5.0,1.0,100,20,26,-1,-1,-1,-1,-1,-1
Sample-14.txt,Nein,Nein,5.0,1.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-15.txt,Ja,Nein,1.0,1.5,100,0,10,51,164,457,520,-1,-1
Sample-16.txt,Ja,Ja,2.5,2.0,200,2,12,52,85,266,1080,2253,-1
Sample-17.txt,Ja,Nein,2.5,1.5,100,1,73,388,837,4989,20737,6783,194999
Sample-18.txt,Nein,Ja,2.5,1.0,100,35,84,442,200,4500,6320,-1,-1
Sample-19.txt,Nein,Nein,2.5,1.0,100,15,112,-1,-1,-1,-1,-1,-1
Sample-20.txt,Ja,Ja,4.0,1.5,150,-1,-1,-1,-1,-1,-1,-1,-1
Sample-21.txt,Ja,Nein,1.0,1.5,100,6,14,50,143,507,1723,4009,21570
Sample-22.txt,Nein,Nein,2.5,1.0,100,28,83,535,1526,6668,28141,133595,-1
Sample-23.txt,Ja,Ja,2.5,1.5,200,74,142,1764,3795,14218,79360,231474,-1
Sample-24.txt,Ja,Nein,2.5,1.5,200,26,40,212,538,2184,14753,25770,140573
Sample-25.txt,Nein,Nein,2.0,1.0,150,44,100,714,1950,7684,-1,-1,-1
Sample-26.txt,Nein,Ja,20.0,1.0,100,36,119,-1,-1,-1,-1,-1,-1
Sample-27.txt,Nein,Ja,5.0,1.0,100,24,18,-1,-1,-1,-1,-1,-1
Sample-28.txt,Nein,Nein,2.0,1.5,100,28,73,165,734,1016,5039,5202,52322
Sample-29.txt,Nein,Ja,2.5,2.0,100,21,-1,-1,-1,-1,-1,-1,-1
Sample-30.txt,Nein,Nein,1.0,1.5,200,3,5,28,93,283,948,-1,-1
Sample-31.txt,Nein,Ja,1.0,1.5,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-32.txt,Nein,Ja,2.5,1.5,100,27,84,349,-1,-1,-1,-1,-1
Sample-33.txt,Ja,Ja,5.0,1.5,150,24,-1,-1,-1,-1,-1,-1,-1
Sample-34.txt,Ja,Nein,4.0,1.0,400,4,14,56,144,308,1670,2714,12917
Sample-35.txt,Ja,Ja,2.5,1.5,100,44,98,-1,-1,-1,-1,-1,-1
Sample-36.txt,Nein,Ja,2.5,2.0,200,5,7,8,84,356,772,4056,19667
Sample-37.txt,Nein,Nein,2.5,1.0,150,-1,-1,-1,-1,-1,-1,-1,-1
Sample-38.txt,Nein,Ja,5.0,1.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-39.txt,Nein,Nein,2.5,1.0,100,-1,-1,-1,-1,-1,-1,-1,-1
Sample-40.txt,Nein,Nein,2.5,1.5,150,70,91,759,3240,9030,-1,-1,-1
Sample-41.txt,Nein,Ja,2.5,2.0,100,17,162,825,1599,2200,65883,168887,-1
Sample-42.txt,Nein,Ja,2.0,1.0,200,23,102,641,1426,1897,32975,-1,-1
Sample-43.txt,Ja,Nein,1.0,1.0,100,8,19,80,399,945,-1,-1,-1
Sample-44.txt,Ja,Nein,2.5,1.5,200,25,22,102,307,1321,6454,-1,-1
Sample-45.txt,Ja,Nein,1.0,2.0,100,9,22,59,152,485,1507,3111,-1
Sample-46.txt,Ja,Ja,2.5,2.0,100,22,34,544,-1,-1,-1,-1,-1
Sample-47.txt,Nein,Ja,5.0,1.0,100,45,-1,-1,-1,-1,-1,-1,-1
Sample-48.txt,Ja,Ja,1.0,1.5,200,1,4,12,37,40,197,230,-1
Sample-49.txt,Ja,Nein,2.5,1.0,100,38,40,172,-1,-1,-1,-1,-1
Sample-50.txt,Nein,Ja,2.5,1.5,200,3,12,17,66,39,393,718,2867
Sample-51.txt,Nein,Ja,2.5,1.5,150,28,50,375,1188,-1,-1,-1,-1
Sample-52.txt,Nein,Ja,20.0,1.0,400,7,17,49,117,273,940,-1,-1
