,machines,complexity,fabrication_time
0,5,3,69.21584784858467
1,7,3,60.78220373331514
2,6,4,75.93315743114836
3,5,2,59.205103878922465
4,4,1,50.80269212615403
5,6,1,40.76820602807921
6,4,1,53.53332636329017
7,9,4,60.21258563494458
8,9,3,45.96292309864594
9,4,4,82.71096358548753
10,8,2,45.629039644975734
11,5,3,67.61785117836325
12,6,1,42.629892657981316
13,9,2,37.88470302476729
14,1,4,92.60693060087323
15,1,4,97.10059589868006
16,1,2,74.88177111045658
17,8,4,63.53306667691261
18,8,1,37.465442373838265
19,8,4,65.36900221371837
20,9,4,60.2416500025622
21,8,4,64.28412361037446
22,5,3,70.53998972153154
23,8,4,67.43917861483239
24,2,2,72.85901022295906
25,6,4,74.16444918279585
26,2,3,76.81079385758771
27,9,1,29.747443828467013
28,5,2,57.239786091612594
29,4,1,52.18790645877114
30,3,4,88.38609217464503
31,7,2,43.02064566562089
32,5,2,56.36137589305963
33,6,3,63.53980870988152
34,1,2,74.56630890789448
35,6,1,40.16618777374748
36,6,4,74.73792697379359
37,6,1,43.55374381169226
38,9,3,47.55779085911103
39,7,1,39.129634409031645
40,4,1,53.64317142409959
41,4,4,82.01058529259872
42,7,4,70.10112960686199
43,1,4,95.65652035032332
44,7,4,67.7095420346913
45,7,4,66.18115896720018
46,2,2,70.82813846605677
47,2,1,61.38858587609155
48,3,2,68.25166552317467
49,4,1,51.769785063025545
50,6,1,43.91483121244198
51,4,1,50.070775972532545
52,9,3,47.93474168834495
53,1,1,65.27922140194623
54,2,4,88.89074307202998
55,2,1,62.640495674649365
56,6,1,43.92626065863721
57,3,1,57.05819152878491
58,5,3,68.1778082504319
59,3,1,60.5420871229696
60,2,2,70.06227162406641
61,1,3,81.09711742899889
62,6,4,73.39860039379293
63,2,3,80.89879291807667
64,2,2,69.9649619149792
65,4,1,50.04234028128246
66,8,1,33.1216209563957
67,1,2,75.86267685843565
68,8,2,42.994366598714926
69,1,2,80.32490735908749
70,9,3,47.57899123673371
71,5,3,65.91376527458466
72,9,2,34.92275991997094
73,6,2,53.50296883004307
74,7,1,34.46718674440048
75,1,4,94.42109073325099
76,3,1,55.948658930878885
77,2,3,79.58054406830622
78,3,4,89.97774535490902
79,2,4,92.98878878263099
80,3,2,69.13827375260315
81,4,2,60.23516236290016
82,1,3,87.75718812902913
83,7,2,49.492001892687924
84,6,2,54.542811897353694
85,3,1,58.55887765756553
86,5,2,55.68247350808189
87,1,1,64.6513647580442
88,6,4,74.7251920226569
89,9,1,24.188761814050135
90,3,3,79.5266561651464
91,7,2,49.60626412841517
92,2,3,80.90859207867953
93,7,4,68.94101531151435
94,3,3,74.44012943338204
95,2,1,60.30011327082179
96,6,2,55.200568676440746
97,1,3,88.09604394465244
98,8,3,59.39244810512716
99,1,3,85.35215066743918
100,7,2,47.18289406638999
101,3,1,55.47153206812002
102,7,2,46.46391624942527
103,9,4,59.3442904881183
104,3,1,57.26546486002454
105,6,4,72.93151543893609
106,6,3,65.1926936913316
107,6,2,52.53156839731093
108,3,4,85.80509869500287
109,9,2,38.33746304627935
110,5,3,64.234730947531
111,8,2,40.864464551383094
112,7,4,66.14168413872463
113,3,3,79.10285614332952
114,8,3,55.79052054577986
115,4,2,64.74992813278598
